epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1
1,25.068586377536548,3.622297298004799,0.031423290203327174,0.02944132468390461,0.031423290203327174,0.008086229424819904
2,13.970383910571828,3.6207026880021016,0.027726432532347505,0.000768755060970818,0.027726432532347505,0.0014960305323209085
3,10.606620227589326,3.6127807133299146,0.027726432532347505,0.000768755060970818,0.027726432532347505,0.0014960305323209085
4,9.885794513365802,3.6108871938560894,0.027726432532347505,0.000768755060970818,0.027726432532347505,0.0014960305323209085
5,9.794019558850456,3.61086926662988,0.027726432532347505,0.000768755060970818,0.027726432532347505,0.0014960305323209085
6,9.778542413431055,3.610936940046864,0.027726432532347505,0.0007730417992290197,0.027726432532347505,0.001504146430326266
7,9.791750003309811,3.6109320399060487,0.025878003696857672,0.012035113290957586,0.025878003696857672,0.010396970855015578
8,9.77964033800013,3.610926148631436,0.02033271719038817,0.004358981432946175,0.02033271719038817,0.005652618430887337
9,9.79882983600392,3.610923387647336,0.024029574861367836,0.008282300416594753,0.024029574861367836,0.005779781160801632
10,9.804488266215605,3.610920271899916,0.018484288354898338,0.018356447365090414,0.018484288354898338,0.010499172826557787
11,9.794368337182437,3.6109128994333544,0.025878003696857672,0.016704797815251412,0.025878003696857672,0.010877414756513002
12,9.788907156271094,3.6109188078952585,0.029574861367837338,0.015057964035891621,0.029574861367837338,0.013733404338160156
